task,word_index,improvement_slope,text_acc,audio_acc,video_acc,prominence_mean_words5,POS_spaCy,Dep,Head,Clause_ID,Clause_Pos,ground_truth,context,sentiment_label,sentiment_score,Frequency,Valence,Arousal,Length
black,6,0.15982527055830203,0.3030695192394978,0.6227200603561018,0.6227200603561018,1.2444,NOUN,pobj,in,1,7,college,So I was a junior in college,Negative,0.39646074175834656,3.6379897807846855,6.44,4.0,7
black,12,-0.08795717757367373,0.023717340780922257,0.023717340780922257,-0.15219701436642522,0.5683999999999999,VERB,amod,job,3,2,pay,was a junior in college when I got my first paying,Positive,0.3706236779689789,4.113475398536737,6.23,4.24,3
black,19,0.0022355331923068584,0.05085111020842837,0.05532217659304208,0.05532217659304208,0.7093999999999999,NOUN,pobj,on,2,11,radio,got my first paying job in my field on the radio,Positive,0.6921367645263672,3.595165414790229,6.0,3.84,5
black,24,-0.38847475799679393,0.9715095992653838,0.15052924527839756,0.19456008327179597,0.2426,NOUN,attr,is,4,5,internship,in my field on the radio This is not an internship,Negative,0.7773938179016113,2.184691430817599,5.9,6.25,10
black,32,-0.00631016379196207,-0.0070341732434531,-0.019654500827377235,-0.019654500827377235,0.6225999999999999,NOUN,attr,was,5,4,country,not an internship I'm getting a check It was a country,Negative,0.788476824760437,3.916717077598813,6.14,3.71,7
black,46,9.217171261888643e-17,0.4755725526528976,0.4755725526528976,0.4755725526528976,0.4291999999999999,NOUN,pobj,on,5,18,weekend,station and my job though it was only on the weekends,Negative,0.7401546835899353,3.494015374757144,7.17,5.81,7
black,49,2.1526115991654782e-17,0.4993626246763312,0.4993626246763312,0.4993626246763312,0.5542,VERB,xcomp,was,6,2,play,job though it was only on the weekends was to play,Negative,0.7687823176383972,4.257246464907372,7.55,3.81,4
black,56,1.1580861498720387e-17,0.31933539513064346,0.31933539513064346,0.31933539513064346,1.0322,NOUN,pobj,of,7,4,week,weekends was to play the top country hits of the week,Neutral,0.5321215987205505,4.085112113266837,5.27,3.33,4
black,64,0.45381488390273744,0.01017269239330572,-0.026658209909428566,0.9178024601987805,0.8096000000000002,NOUN,pobj,on,8,6,album,of the week each Sunday It actually came on an album,Neutral,0.6122685670852661,2.718501688867274,6.19,5.63,5
black,75,9.889141193306413e-17,0.7161544879972969,0.7161544879972969,0.7161544879972969,0.4524,NOUN,pobj,of,10,7,sleeve,pre-recorded so I had to take it out of the sleeve,Negative,0.7324475049972534,2.4578818967339924,5.95,3.26,6
